dataset,backend,reducer,n_components,train_accuracy,test_accuracy,final_loss,epochs_run,converged,duration_sec
wine,NumPy,RAW,11,0.9890321339234174,0.9892307692307692,0.08712712675333023,100,False,0.10389209700042557
wine,NumPy,PCA,2,0.9828747354242833,0.9838461538461538,0.10067366808652878,100,False,0.16348267499961366
wine,NumPy,LDA,1,0.9942274389070618,0.9953846153846154,0.13032057881355286,100,False,0.38488257600147335
wine,MindSporeOfficial,RAW,11,0.9890321339234174,0.9892307692307692,0.08712714910507202,100,False,41.669341920998704
wine,MindSporeOfficial,PCA,2,0.9828747354242833,0.9838461538461538,0.100673608481884,100,False,40.32114133700088
wine,MindSporeOfficial,LDA,1,0.9942274389070618,0.9953846153846154,0.13032054901123047,100,False,46.301681658000234
iris,NumPy,RAW,4,0.8916666666666667,0.9333333333333333,0.3237006366252899,100,False,0.012396200998409768
iris,NumPy,PCA,2,0.8583333333333333,0.9,0.34594452381134033,100,False,0.012810606000130065
iris,NumPy,LDA,2,0.9333333333333333,0.9333333333333333,0.3696752190589905,100,False,0.013908899998568813
iris,MindSporeOfficial,RAW,4,0.8916666666666667,0.9333333333333333,0.32370051741600037,100,False,1.8620071749992348
iris,MindSporeOfficial,PCA,2,0.8583333333333333,0.9,0.34594452381134033,100,False,1.9904533870012528
iris,MindSporeOfficial,LDA,2,0.9333333333333333,0.9333333333333333,0.3696751296520233,100,False,1.8755144349997863
